name,slug,x_url,facebook_url,instagram_url
Winter Park Resort,winter-park,https://x.com/winterpark,https://www.facebook.com/WinterParkResortCO,https://www.instagram.com/winterparkresort/
Purgatory Resort,purgatory,https://x.com/skipurg,https://www.facebook.com/skipurg/,https://www.instagram.com/skipurg/
Eldora Mountain Resort,eldora,https://x.com/eldoramtnresort,https://www.facebook.com/eldoramountainresort/,https://www.instagram.com/eldoramtnresort/
Sunlight Mountain Resort,sunlight,https://x.com/skisunlight,https://www.facebook.com/sunlightmountainresort,https://www.instagram.com/sunlightmountainresort/
Granby Ranch Ski Area,granby-ranch,https://x.com/GranbyRanch,https://www.facebook.com/granbyranch/,https://www.instagram.com/granbyranch/
Park City Mountain,park-city,https://x.com/PCski,https://www.facebook.com/ParkCityMountain/,https://www.instagram.com/pcski/
Snowbird,snowbird,https://x.com/snowbird,https://www.facebook.com/SnowbirdUT/,https://www.instagram.com/snowbird/
Alta Ski Area,alta,https://x.com/altaskiarea,https://www.facebook.com/altaskiarea,https://www.instagram.com/altaskiarea/
Solitude Mountain Resort,solitude,https://x.com/solitudemtn,https://www.facebook.com/SolitudeMTN/,https://www.instagram.com/solitudemountain/
Brighton Resort,brighton,https://x.com/brightonresort,https://www.facebook.com/brightonresort,https://www.instagram.com/brightonresort/
Deer Valley Resort,deer-valley,https://x.com/Deer_Valley,https://www.facebook.com/SkiDeerValley/,https://www.instagram.com/deervalleyresort/
Snowbasin Resort,snowbasin,https://x.com/snowbasinresort,https://www.facebook.com/snowbasin,https://www.instagram.com/snowbasinresort/
Powder Mountain,powder-mountain,https://x.com/PowMow,https://www.facebook.com/powdermountain,https://www.instagram.com/powdermountain/
Brian Head Resort,brian-head,https://x.com/brianheadresort,https://www.facebook.com/brianheadresort/,https://www.instagram.com/brianheadresort/
Sundance Mountain Resort,sundance,https://x.com/SundanceResort,https://www.facebook.com/SundanceResort,https://www.instagram.com/sundanceresort/
Mammoth Mountain,mammoth,https://x.com/MammothMountain,https://www.facebook.com/MammothMountain/,https://www.instagram.com/mammothmountain/
Palisades Tahoe,palisades-tahoe,https://x.com/palisadestahoe,https://www.facebook.com/palisadestahoe,https://www.instagram.com/palisadestahoe/
Sugar Bowl Resort,sugar-bowl,https://x.com/sugarbowlresort,https://www.facebook.com/sugarbowlresort/,https://www.instagram.com/sugarbowlresort/
Northstar California,northstar,https://x.com/northstarmtn,https://www.facebook.com/Northstar/,https://www.instagram.com/northstar_california/
Heavenly Mountain Resort,heavenly,https://x.com/skiheavenly,https://www.facebook.com/SkiHeavenly/,https://www.instagram.com/skiheavenly/
Kirkwood Mountain Resort,kirkwood,https://x.com/kirkwoodmtn,https://www.facebook.com/KirkwoodMtn/,https://www.instagram.com/kirkwoodmtn/
Homewood Mountain Resort,homewood,https://x.com/skihomewood,https://www.facebook.com/HomewoodMountainResort/,https://www.instagram.com/skihomewood/
Sierra-at-Tahoe,sierra-at-tahoe,https://x.com/Sierra_at_Tahoe,https://www.facebook.com/SierraAtTahoe/,https://www.instagram.com/sierra_at_tahoe/
June Mountain,june-mountain,https://x.com/JuneMountain,https://www.facebook.com/JuneMountain/,https://www.instagram.com/junemountain/
China Peak Mountain Resort,china-peak,,https://www.facebook.com/chinapeak,https://www.instagram.com/skichinapeak/
Mt. Baldy Ski Lifts,mt-baldy,,https://www.facebook.com/MtBaldyResort/,https://www.instagram.com/mtbaldyresort/
Snow Valley Mountain Resort,snow-valley,https://x.com/snow_valley_ca,https://www.facebook.com/SnowValleyMtnResortCA/,https://www.instagram.com/snowvalleymtnresort/
Bear Mountain,bear-mountain,https://x.com/BigBearMtResort,https://www.facebook.com/bigbearmountainresort,https://www.instagram.com/bigbearmountainresort/
Snow Summit,snow-summit,https://x.com/BigBearMtResort,https://www.facebook.com/bigbearmountainresort,https://www.instagram.com/bigbearmountainresort/
Mountain High Resort,mountain-high,https://x.com/mthigh,https://www.facebook.com/mthigh/,https://www.instagram.com/mthighsnow/
Dodge Ridge Mountain Resort,dodge-ridge,https://x.com/DodgeRidge,https://www.facebook.com/dodge.ridge,https://www.instagram.com/dodgeridge/
Tahoe Donner,tahoe-donner,https://x.com/tahoedonner,https://www.facebook.com/tahoedonner/,https://www.instagram.com/tahoedonnerassociation/
Donner Ski Ranch,donner-ski-ranch,,https://www.facebook.com/donnerskiranch/,https://www.instagram.com/donnerskiranch/
Boreal Mountain Resort,boreal,https://x.com/borealmtn,https://www.facebook.com/borealmtn/,https://www.instagram.com/borealmtn/
Bear Valley Mountain Resort,bear-valley,https://x.com/bearvalleyrsrt,https://www.facebook.com/BearValleyResort/,https://www.instagram.com/bearvalleyresort/
Mt. Shasta Ski Park,mt-shasta,https://x.com/mtshastaskipark,https://www.facebook.com/skipark,https://www.instagram.com/mtshastaskipark/
Mt. Rose Ski Tahoe,mt-rose,https://x.com/MtRoseSkiTahoe,https://www.facebook.com/MtRoseSkiTahoe/,https://www.instagram.com/mtroseskitahoe/
Diamond Peak Ski Resort,diamond-peak,https://x.com/diamondpeak,https://www.facebook.com/diamondpeak,https://www.instagram.com/diamondpeak/
