name,slug,state,region,lat,lng,website_url,cam_page_url,snotel_station_id,is_active,x_url,facebook_url,instagram_url
Mt. Rose Ski Tahoe,mt-rose,NV,Lake Tahoe,39.3156,-119.8814,https://www.mtrose.com,https://skirose.com/the-mountain-web-cams/,652:NV:SNTL,true,https://x.com/MtRoseSkiTahoe,https://www.facebook.com/MtRoseSkiTahoe/,https://www.instagram.com/mtroseskitahoe/
Diamond Peak Ski Resort,diamond-peak,NV,Lake Tahoe,39.2536,-119.9467,https://www.diamondpeak.com,https://www.diamondpeak.com/the-mountain/web-cams/,1242:NV:SNTL,true,https://x.com/diamondpeak,https://www.facebook.com/diamondpeak,https://www.instagram.com/diamondpeak/
Mt. Shasta Ski Park,mt-shasta,CA,Northern California,41.3597,-122.1781,https://skipark.com,https://www.skipark.com/winter/mountain-cams,,true,https://x.com/mtshastaskipark,https://www.facebook.com/skipark,https://www.instagram.com/mtshastaskipark/
Bear Mountain,bear-mountain,CA,Southern California,34.2236,-116.8556,https://www.bigbearmountainresort.com,https://www.bigbearmountainresort.com/webcams/bear-mountain,,true,https://x.com/BigBearMtResort,https://www.facebook.com/bigbearmountainresort,https://www.instagram.com/bigbearmountainresort/
Snow Summit,snow-summit,CA,Southern California,34.2414,-116.8903,https://www.bigbearmountainresort.com,https://www.bigbearmountainresort.com/webcams/snow-summit,,true,https://x.com/BigBearMtResort,https://www.facebook.com/bigbearmountainresort,https://www.instagram.com/bigbearmountainresort/
Mountain High Resort,mountain-high,CA,Southern California,34.3792,-117.6450,https://mthigh.com,https://www.mthigh.com/site/mountain/mountain-info/livecams/index.html,,true,https://x.com/mthigh,https://www.facebook.com/mthigh/,https://www.instagram.com/mthighsnow/
Dodge Ridge Mountain Resort,dodge-ridge,CA,Central Sierra,38.1683,-119.9517,https://dodgeridge.com,https://dodgeridge.com/webcams/,574:CA:SNTL,true,https://x.com/DodgeRidge,https://www.facebook.com/dodge.ridge,https://www.instagram.com/dodgeridge/
Jackson Hole Mountain Resort,jackson-hole,WY,Teton Range,43.5875,-110.8281,https://www.jacksonhole.com,https://www.jacksonhole.com/live-mountain-cams,689:WY:SNTL,true,https://x.com/jhski,https://www.facebook.com/jacksonhole/,https://www.instagram.com/jacksonhole/
Big Sky Resort,big-sky,MT,Gallatin Range,45.2858,-111.4012,https://bigskyresort.com,https://www.bigskyresort.com/current-conditions/webcams,590:MT:SNTL,true,https://x.com/bigskyresort,https://www.facebook.com/bigskyresort,https://www.instagram.com/bigskyresort/
Sun Valley Resort,sun-valley,ID,Wood River Valley,43.6877,-114.3510,https://www.sunvalley.com,https://www.sunvalley.com/the-mountain/web-cams/,895:ID:SNTL,true,https://x.com/sunvalley,https://www.facebook.com/sunvalley,https://www.instagram.com/sunvalley/
Tamarack Resort,tamarack,ID,West-Central Idaho,44.6900,-115.7042,https://tamarackidaho.com,https://tamarackidaho.com/about/webcams,338:ID:SNTL,true,https://x.com/skitamarack,https://www.facebook.com/tamarackresortidaho,https://www.instagram.com/tamarackresort/
Schweitzer Mountain Resort,schweitzer,ID,Selkirk Mountains,48.3683,-116.6203,https://www.schweitzer.com,https://www.schweitzer.com/mountain-info/webcam,738:ID:SNTL,true,https://x.com/SchweitzerID,https://www.facebook.com/Ski.Schweitzer,https://www.instagram.com/schweitzer_mountain/
Bogus Basin Mountain Recreation Area,bogus-basin,ID,Boise Mountains,43.7636,-116.1011,https://bogusbasin.org,https://bogusbasin.org/your-mountain/conditions-webcams/,978:ID:SNTL,true,https://x.com/bogusbasin,https://www.facebook.com/BogusBasinIdaho,https://www.instagram.com/bogusbasin/
Mt. Bachelor Ski Resort,mt-bachelor,OR,Cascade Range,43.9786,-121.6878,https://www.mtbachelor.com,https://www.mtbachelor.com/the-mountain/webcams/,815:OR:SNTL,true,https://x.com/mtbachelor,https://www.facebook.com/mtbachelorfanpage/,https://www.instagram.com/mtbachelor/
Mt. Hood Meadows,mt-hood-meadows,OR,Mt. Hood,45.3281,-121.6692,https://www.skihood.com,https://www.skihood.com/mountain-report/mountain-cams,651:OR:SNTL,true,https://x.com/HoodMeadows,https://www.facebook.com/MtHoodMeadows/,https://www.instagram.com/mthoodmeadows/
Timberline Lodge Ski Area,timberline,OR,Mt. Hood,45.3311,-121.7097,https://www.timberlinelodge.com,https://timberlinelodge.com/webcams/,651:OR:SNTL,true,,https://www.facebook.com/timberlinelodge.oregon/,https://www.instagram.com/timberlinelodge/
Stevens Pass Mountain Resort,stevens-pass,WA,Cascade Range,47.7453,-121.0858,https://www.stevenspass.com,https://www.stevenspass.com/the-mountain/mountain-conditions/mountain-cams.aspx,791:WA:SNTL,true,https://x.com/StevensPass,https://www.facebook.com/stevenspass/,https://www.instagram.com/stevenspass/
Crystal Mountain Resort,crystal-mountain,WA,Cascade Range,46.9353,-121.4739,https://www.crystalmountainresort.com,https://www.crystalmountainresort.com/the-mountain/mountain-report-and-webcams/webcams,642:WA:SNTL,true,https://x.com/CrystalMt,https://www.facebook.com/CrystalMountainWashington/,https://www.instagram.com/crystalmountain/
The Summit at Snoqualmie,snoqualmie,WA,Cascade Range,47.4072,-121.4125,https://www.summitatsnoqualmie.com,https://www.summitatsnoqualmie.com/webcams,672:WA:SNTL,true,https://x.com/summitsnow411,https://www.facebook.com/summitatsnoqualmie,https://www.instagram.com/summitatsnoqualmie/
Whistler Blackcomb,whistler-blackcomb,BC,Coast Mountains,50.1158,-122.9542,https://www.whistlerblackcomb.com,https://www.whistlerblackcomb.com/the-mountain/mountain-conditions/mountain-cams.aspx,,true,https://x.com/WhistlerBlckcmb,https://www.facebook.com/whistlerblackcomb/,https://www.instagram.com/whistlerblackcomb/
Steamboat Ski Resort,steamboat,CO,Park Range,40.4572,-106.8031,https://www.steamboat.com,https://www.steamboat.com/the-mountain/live-cams,457:CO:SNTL,true,https://x.com/skisteamboat,https://www.facebook.com/SteamboatResort/,https://www.instagram.com/steamboatresort/
Winter Park Resort,winter-park,CO,Front Range,39.8867,-105.7628,https://www.winterparkresort.com,https://www.winterparkresort.com/the-mountain/mountain-cams,1186:CO:SNTL,true,https://x.com/winterpark,https://www.facebook.com/WinterParkResortCO,https://www.instagram.com/winterparkresort/
Snowshoe Mountain Resort,snowshoe,WV,Appalachians,38.4028,-79.9958,https://www.snowshoemtn.com,https://www.snowshoemtn.com/media-room/web-cams,,true,https://x.com/snowshoemtn,https://www.facebook.com/SnowshoeMountainResort/,https://www.instagram.com/snowshoemtn/
Stratton Mountain Resort,stratton,VT,Green Mountains,43.1114,-72.9072,https://www.stratton.com,https://www.stratton.com/the-mountain/webcams,2042:VT:SCAN,true,https://x.com/StrattonResort,https://www.facebook.com/StrattonMountain/,https://www.instagram.com/strattonresort/
Stowe Mountain Resort,stowe,VT,Green Mountains,44.5303,-72.7814,https://www.stowe.com,https://www.stowe.com/the-mountain/mountain-conditions/mountain-cams.aspx,2041:VT:SCAN,true,https://x.com/StoweMtResort,https://www.facebook.com/stowemountainresort/,https://www.instagram.com/stowemt/
Killington Resort,killington,VT,Green Mountains,43.6045,-72.8201,https://www.killington.com,https://www.killington.com/the-mountain/conditions-weather/webcam/,,true,https://x.com/KillingtonMtn,https://www.facebook.com/killingtonresort/,https://www.instagram.com/killingtonmtn/
Sugarbush Resort,sugarbush,VT,Green Mountains,44.1394,-72.9092,https://www.sugarbush.com,https://www.sugarbush.com/mountain/webcams,,true,https://x.com/Sugarbush_VT,https://www.facebook.com/Sugarbush.VT,https://www.instagram.com/sugarbush_vt/
Mad River Glen,mad-river-glen,VT,Green Mountains,44.1928,-72.9367,https://madriverglen.com,https://www.madriverglen.com/live-web-cam/,2041:VT:SCAN,true,https://x.com/madriverglen,https://www.facebook.com/SkiItIfYouCan/,https://www.instagram.com/madriverglen/
Jay Peak Resort,jay-peak,VT,Northern Vermont,44.9247,-72.5264,https://www.jaypeakresort.com,https://www.jaypeakresort.com,,true,https://x.com/jaypeakresort,https://www.facebook.com/JayPeakResort/,https://www.instagram.com/jaypeakresort/
Burke Mountain,burke-mountain,VT,Northeast Kingdom,44.5850,-71.9028,https://www.skiburke.com,https://skiburke.com/the-mountain/webcams,,true,https://x.com/skiburke,https://www.facebook.com/BurkeMtn,https://www.instagram.com/burkemountainofficial/
Bolton Valley Resort,bolton-valley,VT,Green Mountains,44.4231,-72.8742,https://boltonvalley.com,https://www.boltonvalley.com/the-resort/live-webcams/,2041:VT:SCAN,true,https://x.com/boltonvalley,https://www.facebook.com/boltonvalley/,https://www.instagram.com/boltonvalley/
Okemo Mountain Resort,okemo,VT,Green Mountains,43.4042,-72.7231,https://www.okemo.com,https://www.okemo.com/the-mountain/mountain-conditions/mountain-cams.aspx,,true,https://x.com/OkemoMountain,https://www.facebook.com/okemomountain/,https://www.instagram.com/okemomtn/
Sunday River,sunday-river,ME,Western Maine,44.4706,-70.8556,https://www.sundayriver.com,https://www.sundayriver.com,,true,https://x.com/sundayriver,https://www.facebook.com/sundayriver,https://www.instagram.com/sundayriver/
Sugarloaf,sugarloaf,ME,Western Maine,45.0317,-70.3125,https://www.sugarloaf.com,https://www.sugarloaf.com/mountain-report,,true,https://x.com/SugarloafMaine,https://www.facebook.com/sugarloaf,https://www.instagram.com/sugarloafmountain/
Loon Mountain Resort,loon,NH,White Mountains,44.0353,-71.6167,https://www.loonmtn.com,https://www.loonmtn.com,2069:NH:SCAN,true,https://x.com/loonmtn,https://www.facebook.com/LoonMtn,https://www.instagram.com/loonmtnresort/
Cannon Mountain,cannon,NH,White Mountains,44.1558,-71.6997,https://www.cannonmt.com,https://www.cannonmt.com/webcam,2069:NH:SCAN,true,https://x.com/cannonmountain,https://www.facebook.com/CannonMountain/,https://www.instagram.com/cannonmountain/
Bretton Woods Mountain Resort,bretton-woods,NH,White Mountains,44.2611,-71.4439,https://www.brettonwoods.com,https://www.brettonwoods.com/live-cam-forecast/,,true,https://x.com/bretton_woods,https://www.facebook.com/brettonwoodsnh/,https://www.instagram.com/brettonwoodsnh/
Waterville Valley Resort,waterville-valley,NH,White Mountains,43.9739,-71.5119,https://www.waterville.com,https://www.waterville.com/cams,2069:NH:SCAN,true,https://x.com/waterville,https://www.facebook.com/wvresort/,https://www.instagram.com/waterville_valley/
